Season Tickets,,,,,,,,,
Year,Montafon,Montafon (Presale),Lech & Zurs,Brandnertal,Brandnertal (Presale),3 Taler Pass,2 Taler Pass (Presale),Landle Card,Landle Card (Presale)
2015,596,444,790,NaN,NaN,487,427,680,579
2014,569,424,775,409,374,475,416,665,565
2013,550,410,760,389,356,465,408,NaN,NaN
2012,524,390,745,377,346,NaN,NaN,NaN,NaN
2011,499,370,725,NaN,NaN,NaN,NaN,NaN,NaN
2010,499,370,710,NaN,NaN,NaN,NaN,NaN,NaN
2009,476,353,695,NaN,NaN,NaN,NaN,NaN,NaN
2008,476,353,680,NaN,NaN,NaN,NaN,NaN,NaN
2007,NaN,339,665,NaN,NaN,NaN,NaN,NaN,NaN
2006,445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,432,320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,NaN,308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
